Map Name,W(1/100),H(1/100),Cap/Gen,Capacity,SP,Avg.LV,Avg.HP,Avg.Exp,Avg.Exp/Gen,Monsters,Limit Portal,Teleport Limit
Morass : Bully Blvd. 2,32,11,31,35,39,238,306363200,454564,14091484,"Powerful Gangster x20,Strong Gangster x19",0,0
Arcana : The Deepest Part of the Cavern - Lower Path,25,11,28,28,31,238,309309006,458486,12837608,"Anguished Spirit x16,Mournful Spirit x15",0,0
Arcana : Deep in the Cavern - Upper Path 2,37,12,28,28,42,238,306363200,454564,12727792,Anguished Spirit x42,0,0
Arcana : The Deepest Part of the Cavern - Upper Path,28,12,26,26,38,238,309246989,458403,11918478,"Anguished Spirit x20,Mournful Spirit x18",0,0
Arcana : Deep in the Cavern - Lower Path 1,26,12,22,22,30,238,306671253,455126,10012772,"Befuddled Spirit x14,Mournful Spirit x16",0,0
Morass : Street Cat Area,32,12,39,39,52,237,300065600,446505,17413695,Nameless Cat x52,0,0
Morass : Street Cat Area 2,32,11,38,38,48,237,300065600,446505,16967190,Nameless Cat x48,0,0
Arcana : Deep in the Cavern - Upper Path 1,37,13,32,32,45,237,303564266,450982,14431424,"Befuddled Spirit x20,Anguished Spirit x25",0,0
Arcana : Cavern Upper Path,33,14,29,36,29,237,300065600,446505,12948645,Befuddled Spirit x29,0,0
Arcana : Cavern Lower Path,20,13,20,20,25,237,300065600,446505,8930100,Befuddled Spirit x25,0,0
Morass : Path to the Coral Forest 4,30,15,39,39,72,236,294096000,439402,17136678,Xenoroid Echo Type B x72,0,0
Morass : Path to the Coral Forest 3,26,14,38,38,51,236,294096000,439402,16697276,"Xenoroid Echo Type A x26,Xenoroid Echo Type B x25",0,0
Morass : Path to the Coral Forest 2,41,11,35,35,47,236,294096000,439402,15379070,Xenoroid Echo Type A x47,0,0
Arcana : The Volatile Forest,34,8,27,31,27,236,294096000,439402,11863854,Volatile Spirit x27,0,0
Arcana : The Volatile and Toxic Forest 2,33,9,31,32,31,235,291426064,435814,13510234,"Toxic Spirit x14,Volatile Spirit x17",0,0
Arcana : The Volatile and Toxic Forest 1,33,9,29,29,30,235,291140000,435430,12627470,"Toxic Spirit x15,Volatile Spirit x15",0,0
Arcana : Forest of Toxins,33,9,27,29,30,235,288184000,431459,11649393,Toxic Spirit x30,0,0
Arcana : Thunder Cloud Clearing,33,10,25,25,31,234,282072000,423542,10588550,Thunder Cloud Spirit x31,0,0
Arcana : Between Frost and Thunder 1,33,8,22,22,24,233,279175200,419622,9231684,"Snow Cloud Spirit x12,Thunder Cloud Spirit x12",0,0
Arcana : Snow Cloud Clearing,33,8,22,22,26,233,276278400,415702,9145444,Snow Cloud Spirit x26,0,0
Arcana : Between Frost and Thunder 2,33,6,20,25,23,233,278797356,419110,8382200,"Snow Cloud Spirit x13,Thunder Cloud Spirit x10",0,0
Arcana : The Forest of Earth,28,8,28,29,31,232,270291200,408778,11445784,Earth Spirit x31,0,0
Arcana : The Forest of Sunlight,28,9,27,28,39,231,264616000,401055,10828485,Sun Spirit x39,0,0
Arcana : Where Earth and Sunlight Meet,28,11,25,29,40,231,267737360,405302,10132550,"Sun Spirit x18,Earth Spirit x22",0,0
Arcana : Where Water and Sunlight Meet,28,9,33,33,35,230,261726948,397098,13104234,"Water Spirit x18,Sun Spirit x17",0,0
Arcana : The Forest of Water,28,10,28,28,38,230,258998400,393361,11014108,Water Spirit x38,0,0
Clocktower : Hidden Nightmare Clocktower,11,31,27,34,27,229,506876800,402466,10866582,Red-eyed Gargoyle x27,0,1
Eree Valley : Hidden Torrent Zone,56,5,26,38,26,229,506876800,402466,10464116,"Blue Catfish x13,Boss Rhyturtle x13",0,1
Skywhale Mountain : Hidden Skywhale Mountain,24,15,19,19,28,229,506876800,402466,7646854,"Patriarch Crilia x16,Patriarch Birdshark x12",0,1
Slurpy Forest : Hidden Slurpy Forest,18,10,19,19,25,229,506876800,402466,7646854,"Ripe Wolfruit x12,Angry Flyon x13",0,1
Lachelein Ballroom : Hidden Dance Floor,20,10,16,16,30,229,506876800,402466,6439456,Red Dancing Shoes x30,0,1
Night Market : Hidden Plate Street,18,9,14,14,28,229,506876800,402466,5634524,Crooked Victory Plate x28,0,1
Lachelein Clocktower : Nightmare Clocktower 4F,11,33,31,32,33,228,226241600,363430,11266330,Red-eyed Gargoyle x33,0,0
Lachelein Clocktower : Nightmare Clocktower 3F,11,32,28,36,29,227,221273220,356216,9974048,Blue-eyed Gargoyle x29,0,0
Lachelein Clocktower : Nightmare Clocktower 5F,11,33,27,36,27,227,223849417,359956,9718812,"Blue-eyed Gargoyle x13,Red-eyed Gargoyle x14",0,0
Lachelein Clocktower : Nightmare Clocktower 2F,11,32,28,36,28,226,216357400,349836,9795408,Dreamkeeper x28,0,0
Lachelein Clocktower : Nightmare Clocktower 1F,11,31,26,35,26,226,216357400,349836,9095736,Dreamkeeper x26,0,0
Lachelein Ballroom : Occupied Dance Floor 2,26,10,30,30,40,225,211494140,342720,10281600,Red Dancing Shoes x40,0,0
Lachelein Ballroom : Occupied Dance Floor 1,28,11,28,28,32,224,206683440,335675,9398900,Weakened Dreamkeeper x32,0,0
Lachelein Ballroom : Revelation Place 2,20,8,21,22,27,224,206683440,335675,7049175,Insane Masquerade Citizen x27,0,0
Lachelein Ballroom : Revelation Place 1,28,9,30,30,41,223,201925300,329417,9882510,Angry Masquerade Citizen x41,0,0
Lachelein Night Market : Victory Plate Street 2,23,10,30,30,40,223,201925300,329417,9882510,Crooked Victory Plate x40,0,0
Lachelein Ballroom : Revelation Place 3,20,8,21,21,28,223,204644237,332993,6992853,"Angry Masquerade Citizen x12,Insane Masquerade Citizen x16",0,0
Lachelein Night Market : Victory Plate Street 1,23,8,30,30,40,222,197219720,322473,9674190,Angry Victory Plate x40,0,0
Lachelein Night Market : Chicken Festival 2,23,7,22,22,23,222,197219720,322473,7094406,Gallus x23,0,0
Lachelein Night Market : Chicken Festival 3,28,11,38,38,40,221,194893210,319394,12136972,"Gallina x20,Gallus x20",0,0
Lachelein Alley : Outlaw's Street 3,26,9,29,29,43,221,192566700,316316,9173164,Wood Board Alley Citizen x43,0,0
Lachelein Night Market : Chicken Festival 1,23,9,26,26,40,221,192566700,316316,8224216,Gallina x40,0,0
Lachelein Alley : Outlaw's Street 2,26,9,29,29,44,220,189848246,312270,9055830,"Paper Bag Alley Citizen x26,Wood Board Alley Citizen x18",0,0
Lachelein Alley : Outlaw's Street 1,26,8,27,27,40,220,187966240,309470,8355690,Paper Bag Alley Citizen x40,0,0
Yum Yum Island : Hidden Mushbud Forest,26,8,26,26,27,220,187966240,309470,8046220,"Potent Monkeyrog x13,Potent Bunshroom x14",0,0
Yum Yum Island : Hidden Illiard Field,26,8,26,26,27,220,187966240,309470,8046220,"Potent Lytone x14,Potent Stonepy x13",0,0
Yum Yum Island : Hidden Fungos Forest,26,8,26,26,27,220,187966240,309470,8046220,"Potent Kumpider x12,Potent Squirrelnon x15",0,0
Skywhale Mountain : Colossal Tail,24,16,29,29,30,219,150754800,303394,8798426,Patriarch Birdshark x30,0,0
Skywhale Mountain : Skywhale Peak,24,15,27,27,28,219,150754800,303394,8191638,Patriarch Crilia x28,0,0
Yum Yum Island : Fungos Forest 2,26,9,26,26,27,219,150754800,303394,7888244,"Kumpider x15,Squirrelnon x12",0,0
Yum Yum Island : Fungos Forest 5,26,10,26,26,27,219,150754800,303394,7888244,"Kumpider x12,Squirrelnon x15",0,0
Yum Yum Island : Fungos Forest 1,26,8,25,25,26,219,150754800,303394,7584850,Kumpider x26,0,0
Yum Yum Island : Fungos Forest 4,26,8,25,25,26,219,150754800,303394,7584850,Kumpider x26,0,0
Yum Yum Island : Fungos Forest 3,26,9,25,25,26,219,150754800,303394,7584850,Squirrelnon x26,0,0
Yum Yum Island : Fungos Forest 6,26,10,25,25,26,219,150754800,303394,7584850,Squirrelnon x26,0,0
Black Heaven : Black Heaven Maze 6,31,15,40,40,50,219,8066531,33198,1327920,"Alloy Xenoroid DX x14,Alloy Xenoroid DX x8,Alloy Xenoroid EX x18,Alloy Xenoroid EX x7,Modded Megaroid x3(300)",0,0
Black Heaven : Black Heaven Junction 3,23,18,39,40,43,219,5707555,23404,912756,"Alloy Xenoroid EX x31,Alloy Xenoroid EX x9,Modded Megaroid x3(300)",0,0
Black Heaven : Black Heaven Maze 7,23,20,35,40,37,219,5797040,23776,832160,"Alloy Xenoroid DX x27,Alloy Xenoroid DX x8,Modded Megaroid x2(300)",0,0
Black Heaven : Black Heaven Maze 5,24,16,32,33,35,219,5384866,22065,706080,"Alloy Xenoroid EX x26,Alloy Xenoroid EX x7,Modded Megaroid x2(300)",0,0
Skywhale Mountain : Skywhale Mountainside 2,24,15,27,27,28,218,147060000,296653,8009631,Birdshark x28,0,0
Yum Yum Island : Illiard Field 3,26,9,25,25,26,218,147060000,296653,7416325,Stonepy x26,0,0
Yum Yum Island : Illiard Field 6,26,9,25,25,26,218,147060000,296653,7416325,Stonepy x26,0,0
Black Heaven : Black Heaven Maze 4,20,17,29,31,33,218,7654827,31565,915385,"Steel Xenoroid DX x20,Steel Xenoroid DX x9,Modded Megaroid x4(300)",0,0
Black Heaven : Black Heaven Junction 2,21,12,21,21,33,218,5254242,21574,453054,"Steel Xenoroid DX x26,Steel Xenoroid DX x7",0,0
Skywhale Mountain : Skywhale Mountainside 1,24,15,27,27,28,217,145873157,294765,7958655,"Crilia x19,Patriarch Crilia x9",0,0
Yum Yum Island : Illiard Field 2,26,9,26,26,27,217,145375200,293776,7638176,"Lytone x13,Stonepy x14",0,0
Skywhale Mountain : Mountain's Mouth,24,16,26,26,27,217,143560800,290679,7557654,Crilia x27,0,0
Yum Yum Island : Illiard Field 5,26,8,25,25,26,217,145041230,293206,7330150,"Lytone x15,Stonepy x11",0,0
Yum Yum Island : Illiard Field 1,26,9,25,25,26,217,143560800,290679,7266975,Lytone x26,0,0
Yum Yum Island : Illiard Field 4,26,9,25,25,26,217,143560800,290679,7266975,Lytone x26,0,0
Dark World Tree : Upper-left Stem,20,13,24,24,25,217,24475456,101634,2439216,"Dark Demon Shieldbearer x3,Dark Demon Shieldmaster x7,Dark Demon Wolfrider x4,Dark Demon Wolfmaster x11",0,0
Dark World Tree : Upper Stem Crossroad,20,11,24,25,24,217,24469358,101596,2438304,"Dark Demon Shieldbearer x2,Dark Demon Shieldmaster x5,Dark Demon Wolfrider x10,Dark Demon Wolfmaster x7",0,0
Dark World Tree : Upper-right Stem,20,13,24,24,25,217,24379536,101285,2430840,"Dark Demon Shieldbearer x3,Dark Demon Shieldmaster x9,Dark Demon Wolfrider x4,Dark Demon Wolfmaster x9",0,0
Black Heaven : Black Heaven Maze 3,18,12,17,17,34,217,6470800,26682,453594,"Scrap Xenoroid DX x13,Scrap Xenoroid DX x4,Steel Xenoroid EX x12,Steel Xenoroid EX x5",0,0
Black Heaven : Black Heaven Maze 2,18,14,23,23,32,217,4543150,18686,429778,"Scrap Xenoroid EX x26,Scrap Xenoroid EX x6",0,0
Eree Valley : Torrent Zone 1,57,10,28,38,28,216,139950000,284043,7953204,Blue Catfish x28,0,0
Eree Valley : Below the Falls,57,11,25,39,28,216,139950000,284043,7101075,Boss Rhyturtle x28,0,0
Yum Yum Island : Mushbud Forest 6,26,8,25,25,26,216,139950000,284043,7101075,Bunshroom x26,0,0
Yum Yum Island : Mushbud Forest 3,26,8,24,24,25,216,139950000,284043,6817032,Bunshroom x25,0,0
Black Heaven : Black Heaven Junction 1,24,12,24,24,35,216,19458788,81146,1947504,"Inner Guard EX x22,Scrap Xenoroid DX x6,Scrap Xenoroid DX x7",0,0
Black Heaven : Black Heaven Maze 1,24,12,22,22,43,216,20746888,86538,1903836,"Inner Guard EX x29,Scrap Xenoroid EX x5,Scrap Xenoroid EX x9",0,0
Eree Valley : Torrent Zone 3,57,10,28,38,28,215,138240000,281090,7870520,"Rhyturtle x14,Boss Rhyturtle x14",0,0
Eree Valley : Torrent Zone 2,57,9,26,38,29,215,136530000,278138,7231588,Rhyturtle x29,0,0
Yum Yum Island : Mushbud Forest 5,26,8,24,24,25,215,138582000,281681,6760344,"Monkeyrog x10,Bunshroom x15",0,0
Yum Yum Island : Mushbud Forest 2,26,8,24,24,25,215,138171600,280972,6743328,"Monkeyrog x13,Bunshroom x12",0,0
Yum Yum Island : Mushbud Forest 4,26,8,24,24,25,215,136530000,278138,6675312,Monkeyrog x25,0,0
Yum Yum Island : Mushbud Forest 1,26,9,24,24,25,215,136530000,278138,6675312,Monkeyrog x25,0,0
Black Heaven Decks : Black Heaven Deck 3,34,13,29,34,33,215,22755000,95362,2765498,"Outer Guard EX x29,Demolishizer x4(300)",0,0
Black Heaven Decks : Black Heaven Deck 2,25,11,22,23,26,215,22755000,95362,2097964,"Outer Guard EX x22,Salvoroid Blue x4(300)",0,0
Eree Valley : Chu Chu Village Entrance,57,9,26,38,27,214,133003200,271621,7062146,Green Catfish x27,0,0
Dark World Tree : Climbing right Stem 1,20,16,29,29,29,214,22511772,94437,2738673,"Dark Demon Axeman x12,Dark Demon Axemaster x17",0,0
Dark World Tree : Climbing left Stem 1,20,16,26,26,27,214,22450214,94203,2449278,"Dark Demon Axeman x14,Dark Demon Axemaster x13",0,0
Dark World Tree : Path to the Upper Stem,20,15,23,27,24,214,22461100,94244,2167612,"Dark Demon Axeman x12,Dark Demon Axemaster x12",0,0
Dark World Tree : Climbing right Stem 2,20,14,22,22,22,214,22541254,94549,2080078,"Dark Demon Axeman x8,Dark Demon Axemaster x14",0,0
Dark World Tree : Climbing left Stem 2,20,14,20,24,20,214,22519880,94468,1889360,"Dark Demon Axeman x8,Dark Demon Axemaster x12",0,0
Skyline : Skyline Edge,24,11,13,15,16,214,22167200,93127,1210651,"Modded Buffroid x13,Salvoroid Red x3(30)",0,0
Reverse City : Hidden M Tower,21,29,39,39,55,213,129519600,265808,10366512,"Strong Exterminator T-Drone Model A x27,Strong Exterminator T-Drone Model B x28",0,0
Slurpy Forest : Bitty-Bobble Forest 2,21,11,29,29,30,213,129519600,265808,7708432,Angry Flyon x30,0,0
Slurpy Forest : Dealie-Bobber Forest 2,30,9,28,28,29,213,129519600,265808,7442624,Ripe Wolfruit x29,0,0
Slurpy Forest : Slurpy Forest Depths,18,11,26,26,27,213,129519600,265808,6911008,"Angry Flyon x14,Ripe Wolfruit x13",0,0
Black Heaven Decks : Black Heaven Entrance,40,9,30,30,35,213,22151954,93179,2795370,"Outer Guard EX x15,Repairoid x16,Salvoroid Blue x4(300)",0,0
Black Heaven Decks : Black Heaven Deck 1,40,18,21,40,24,213,21586600,91134,1913814,"Repairoid x21,Salvoroid Blue x3(300)",0,0
Skyline : Skyline 2,26,20,20,40,23,213,21586600,91134,1822680,"Salvoroid Red x3(30),Repairoid x20",0,0
Slurpy Forest : Dealie-Bobber Forest 1,27,9,27,27,28,212,126219600,260047,7021269,Unripe Wolfruit x28,0,0
Slurpy Forest : Bitty-Bobble Forest 1,21,7,24,24,25,212,126219600,260047,6241128,Flyon x25,0,0
Dark World Tree : Winding left Stem 2,20,19,27,32,27,212,21321785,90183,2434941,"Dark Demon Swordsman x13,Dark Demon Swordmaster x14",0,0
Dark World Tree : Winding right Stem 2,20,19,26,28,26,212,21311600,90146,2343796,"Dark Demon Swordsman x13,Dark Demon Swordmaster x13",0,0
Dark World Tree : Winding left Stem 1,20,17,25,30,25,212,21388600,90423,2260575,"Dark Demon Swordsman x9,Dark Demon Swordmaster x16",0,0
Dark World Tree : Winding right Stem 1,20,17,25,28,25,212,21388600,90423,2260575,"Dark Demon Swordsman x9,Dark Demon Swordmaster x16",0,0
Dark World Tree : Winding right Stem 3,20,17,24,28,24,212,21403266,90475,2171400,"Dark Demon Swordsman x8,Dark Demon Swordmaster x16",0,0
Dark World Tree : Winding left Stem 3,20,17,23,26,23,212,21371382,90361,2078303,"Dark Demon Swordsman x9,Dark Demon Swordmaster x14",0,0
Dark World Tree : Winding Stem Crossroad,10,16,19,19,20,212,21311600,90146,1712774,"Dark Demon Swordsman x10,Dark Demon Swordmaster x10",0,0
Skyline : Upper Skyline,31,12,17,17,20,212,21575047,91094,1548598,"Modded Laseroid x4,Modded Deliverbot x13,Salvoroid Red x3(30)",0,0
Skyline : Skyline 1,26,11,13,13,19,212,21322650,90186,1172418,"Modded Laseroid x2,Modded Deliverbot x14,Salvoroid Red x3(30)",0,0
Five-Color Hill : Mottled Forest 1,27,9,31,31,32,211,122820000,253673,7863863,Bighorn Pinedeer x32,0,0
Five-Color Hill : Within Five-Color Hill,30,9,30,30,31,211,122820000,253673,7610190,Ramanana x31,0,0
Reverse City : Hidden Underground Train,24,7,20,20,31,211,124245638,256345,5126900,"Strong Combat T-Drone Model A x18,Strong Combat T-Drone Model B x13",0,0
Dark World Tree : Lower-right Stem,27,10,20,20,21,211,20470000,86974,1739480,Defiled Tree Sap x21,0,0
Five-Color Hill : Mottled Forest 2,24,9,33,33,34,210,119599200,248003,8184099,Ewenana x34,0,0
Five-Color Hill : Hill Path,27,9,33,33,34,210,119599200,248003,8184099,Pinedeer x34,0,0
Five-Color Hill : Mottled Forest 3,33,7,28,28,29,210,121265131,250935,7026180,"Ewenana x14,Ramanana x15",0,0
Reverse City : Hidden Research Train,24,8,27,27,28,210,119599200,248003,6696081,"Strong Seeker T-Drone Model A x15,Strong Seeker T-Drone Model B x13",0,0
Dark World Tree : Lower Stem Crossroad,20,17,28,28,29,210,20247875,86169,2412732,"Polluted Tree Sap x12,Defiled Tree Sap x17",0,0
Dark World Tree : Lower-left Stem,27,10,20,20,21,210,19933200,85029,1700580,Polluted Tree Sap x21,0,0
Dark World Tree : Path to the Lower Stem,20,17,19,25,19,210,20159221,85847,1631093,"Polluted Tree Sap x11,Defiled Tree Sap x8",0,0
Lake of Oblivion : Hidden Lakeshore,33,11,36,36,37,209,100894560,207204,7459344,Joyful Erda x37,0,0
Cave of Repose : Hidden Cave,36,8,29,29,29,209,100894560,207204,6008916,Arma's Follower x29,0,0
Extinction Zone : Hidden Fire Zone,22,11,26,26,26,209,100894560,207204,5387304,Soulful Erda x26,0,0
Reverse City : M Tower 3,21,28,39,39,49,209,58208400,124322,4848558,"Exterminator T-Drone Model A x29,Exterminator T-Drone Model B x20",0,0
Reverse City : M Tower 4,21,28,39,39,45,209,58208400,124322,4848558,Exterminator T-Drone Model B x45,0,0
Reverse City : M Tower 2,21,28,39,39,42,209,58208400,124322,4848558,Exterminator T-Drone Model A x42,0,0
Cave of Repose : Arma's Hideout,36,8,25,25,26,209,58208400,124322,3108050,Arma's Follower x26,0,0
Reverse City : Underground Train 3,24,7,26,26,27,208,56571000,121453,3157778,Combat T-Drone Model B x27,0,0
Reverse City : Surface Train 3,24,7,26,26,27,208,56571000,121453,3157778,Combat T-Drone Model B x27,0,0
Scrapyard : Scrapyard Hill 5,31,10,21,23,21,208,19266980,82515,1732815,"Chaseroid Blue x13,Hunterizer Blue x8",0,0
Scrapyard : Scrapyard Lot,28,4,15,20,15,208,18857000,80968,1214520,Chaseroid Blue x15,0,0
Reverse City : Surface Train 1,24,8,26,26,27,207,55019400,118598,3083548,Combat T-Drone Model A x27,0,0
Reverse City : Surface Train 2,24,7,25,25,26,207,55795200,120025,3000625,"Combat T-Drone Model A x13,Combat T-Drone Model B x13",0,0
Reverse City : Underground Train 2,24,7,25,25,26,207,55616169,119696,2992400,"Combat T-Drone Model A x16,Combat T-Drone Model B x10",0,0
Reverse City : Underground Train 1,24,7,25,25,26,207,55019400,118598,2964950,Combat T-Drone Model A x26,0,0
Cave of Repose : Forked Road 1,29,8,15,23,15,207,55019400,118598,1778970,Tranquil Erda x15,0,0
Cave of Repose : Western Cave Path 1,36,7,13,29,13,207,55019400,118598,1541774,Tranquil Erda x13,0,0
Cave of Repose : Western Cave Path 2,36,7,13,29,13,207,55019400,118598,1541774,Tranquil Erda x13,0,0
Cave of Repose : Eastern Cave Path 1,36,7,13,29,13,207,55019400,118598,1541774,Tranquil Erda x13,0,0
Cave of Repose : Eastern Cave Path 2,36,7,13,29,13,207,55019400,118598,1541774,Tranquil Erda x13,0,0
Cave of Repose : Below the Cave,36,7,13,29,13,207,55019400,118598,1541774,Tranquil Erda x13,0,0
Cave of Repose : Forked Road 2,36,8,13,29,13,207,55019400,118598,1541774,Tranquil Erda x13,0,0
Cave of Repose : Above the Cave,36,8,13,29,13,207,55019400,118598,1541774,Tranquil Erda x13,0,0
Cave of Repose : Cave Depths,36,8,13,29,13,207,55019400,118598,1541774,Tranquil Erda x13,0,0
Reverse City : T-Boy's Research Train 2,24,8,27,27,28,206,53487000,115470,3117690,"Seeker T-Drone Model A x14,Seeker T-Drone Model B x14",0,0
Reverse City : T-Boy's Research Train 1,24,8,26,26,27,206,53487000,115470,3002220,Seeker T-Drone Model A x27,0,0
Reverse City : T-Boy's Research Train 3,24,8,26,26,27,206,53487000,115470,3002220,Seeker T-Drone Model B x27,0,0
Extinction Zone : Spirit Zone,22,9,25,25,26,206,53487000,115470,2886750,Soulful Erda x26,0,0
Extinction Zone : Fire Spirit Zone,28,10,28,28,29,205,52704310,114017,3192476,"Blazing Erda x15,Soulful Erda x14",0,0
Extinction Zone : Fire Zone,22,15,26,26,27,205,51973800,112662,2929212,Blazing Erda x27,0,0
Reverse City : Subway Tunnel 5,23,8,26,26,27,205,51973800,112662,2929212,"Erda Rat x14,Monto x13",0,0
Reverse City : Subway Tunnel 1,23,8,25,25,26,205,51973800,112662,2816550,Erda Rat x26,0,0
Reverse City : Subway Tunnel 2,23,8,25,25,26,205,51973800,112662,2816550,"Erda Rat x13,Monto x13",0,0
Reverse City : Subway Tunnel 3,23,8,25,25,26,205,51973800,112662,2816550,Monto x26,0,0
Reverse City : Subway Tunnel 4,23,8,25,25,26,205,51973800,112662,2816550,Erda Rat x26,0,0
Reverse City : Subway Tunnel 6,23,8,25,25,26,205,51973800,112662,2816550,Monto x26,0,0
Extinction Zone : Rock Zone,22,12,28,28,29,204,50419200,109886,3076808,Stone Erda x29,0,0
Extinction Zone : Fire Rock Zone,30,11,27,27,28,204,51140978,111174,3001698,"Stone Erda x15,Blazing Erda x13",0,0
Scrapyard : Scrapyard Hill 3,32,11,25,36,25,204,16806400,73257,1831425,Chaseroid Red x25,0,0
Scrapyard : Scrapyard Hill 4,28,8,17,35,17,204,17227470,74790,1271430,"Chaseroid Red x10,Hunterizer Red x7",0,0
Lake of Oblivion : Weathered Land of Joy,21,11,24,24,26,203,48945600,107125,2571000,Joyful Erda x26,0,0
Lake of Oblivion : Weathered Land of Sorrow and Joy,27,10,25,25,26,202,48218400,105613,2640325,"Sad Erda x13,Joyful Erda x13",0,0
Lake of Oblivion : Weathered Land of Sorrow,21,12,25,25,26,202,47491200,104101,2602525,Sad Erda x26,0,0
Scrapyard : Scrapyard Hill 2,39,11,27,40,27,202,15830400,69400,1873800,Modded Broken Android x27,0,0
Lake of Oblivion : Weathered Land of Rage and Sorrow,24,9,25,25,26,201,46718400,102640,2566000,"Raging Erda x14,Sad Erda x12",0,0
Lake of Oblivion : Weathered Land of Rage,21,12,25,25,26,201,46056000,101389,2534725,Raging Erda x26,0,0
Lake of Oblivion : Weathered Land of Happiness and Rage,24,11,28,28,29,200,45372413,100094,2802632,"Happy Erda x14,Raging Erda x15",0,0
Lake of Oblivion : Weathered Land of Happiness,21,11,25,25,26,200,44640000,98708,2467700,Happy Erda x26,0,0
Scrapyard : Scrapyard Hill 1,43,9,26,40,26,200,15245538,67187,1746862,"Modded Scaredroid x16,Modded Broken Android x10",0,0
Scrapyard : Scrapyard Entrance,37,11,23,30,23,200,14880000,65805,1513515,Modded Scaredroid x23,0,0
Beyond the Clouds : Guardian Walkway 3,32,9,26,26,39,199,14414400,64028,1664728,"Sky Guardian x1(300),Wind Guardian x38",0,0
Twilight Perion : Closed Area,34,16,35,40,35,198,51634240,122816,4298560,[*] Ancient Mixed Golem x35,0,0
Twilight Perion : Warrior Grounds,44,17,26,40,26,198,13955200,64640,1680640,Ancient Mixed Golem x26,0,0
Beyond the Clouds : Guardian Walkway 2,32,9,25,25,37,198,14184800,63145,1578625,"Cloud Guardian x18,Sky Guardian x1(300),Wind Guardian x18",0,0
Beyond the Clouds : Guardian Walkway,28,8,19,19,29,198,13955200,62262,1182978,"Cloud Guardian x28,Sky Guardian x1(300)",0,0
Twilight Perion : Excavation Intermission Area,19,17,32,34,32,197,49958880,119035,3809120,[*] Ancient Dark Golem x32,0,0
Fox Point Village : Fox Tree Midway 3,18,23,35,35,56,197,13502400,60344,2112040,Stormy Stjartmes x56,0,0
Twilight Perion : Rough Canyon,28,12,21,27,21,197,13696457,63502,1333542,"Ancient Dark Golem x12,Ancient Mixed Golem x9",0,0
Fox Point Village : Fox Tree Midway 2,18,24,38,38,59,196,13275416,59466,2259708,"Snowy Stjartmes x30,Stormy Stjartmes x29",0,0
Fox Point Village : Fox Tree Midway 1,18,22,34,34,45,196,13056000,58618,1993012,Snowy Stjartmes x45,0,0
Twilight Perion : Forsaken Excavation Site 4,19,18,30,36,30,196,12979200,60857,1825710,Sinister Steel Mask x30,0,0
Twilight Perion : Rough Wilderness,28,10,21,23,21,196,13374857,62137,1304877,"Ancient Golem x6,Ancient Dark Golem x15",0,0
Twilight Perion : Spirit Zone Limbo,28,12,21,31,21,196,13056000,60857,1277997,Ancient Golem x21,0,0
Fox Valley : Fox Tree Lower Path 3,25,9,29,29,32,195,12632600,56902,1650158,Vicious Squirrel x32,0,0
Twilight Perion : Forsaken Excavation Site 3,29,10,27,27,31,195,12923296,60569,1635363,"Sinister Rocky Mask x5,Sinister Steel Mask x26",0,0
Twilight Perion : Forsaken Excavation Site 2,31,10,24,24,27,195,12632600,59075,1417800,Sinister Rocky Mask x27,0,0
Twilight Perion : Forsaken Excavation Site 1,20,14,28,28,28,194,12198600,57312,1604736,Sinister Wooden Mask x28,0,0
Fox Valley : Fox Tree Lower Path,28,10,29,29,36,194,12198600,55202,1600858,Nettled Squirrel x36,0,0
Twilight Perion : Gale Plateau,31,14,27,40,27,194,12048000,57312,1547424,Pillaging Fire Boar x27,0,0
Fox Valley : Fox Tree Lower Path 2,21,10,24,24,35,194,12397000,55979,1343496,"Nettled Squirrel x19,Vicious Squirrel x16",0,0
Crimsonwood Mountain : Upper Ascent,22,18,24,28,24,194,12198600,51853,1244472,Corrupted Stormcaster x24,0,1
Phantom Forest : Hidden Evil,30,3,14,14,15,194,12198600,51853,725942,Corrupted Stormcaster x15,0,1
Phantom Forest : Creeping Evil,30,3,14,14,15,194,12198600,51853,725942,Corrupted Stormcaster x15,0,1
Twilight Perion : Fevered Land,37,11,31,37,31,193,11878225,56240,1743440,"Iron Boar Raider x19,Pillaging Fire Boar x12",0,0
Fox Valley : Fox Tree Side Path,25,9,25,25,43,193,11771000,53520,1338000,Spiney Puff Bush x43,0,0
Twilight Perion : Dusty Wind Canyon,22,11,26,27,26,192,42403295,102287,2659462,[*] Pillaging Wild Boar x26,0,0
Twilight Perion : Tempest Grave,33,15,38,40,38,192,11349800,53835,2045730,Swollen Axe Stump x38,0,0
Fox Valley : Fox Tree Top Path 3,25,11,29,29,41,192,11349800,51853,1503737,Pom Puff Bush x41,0,0
Twilight Perion : Fiery Ravine,34,11,27,34,27,192,11460350,53835,1453545,Pillaging Wild Boar x27,0,0
Twilight Perion : Fiery Rocky Hills,38,10,25,32,25,192,11659166,54941,1373525,"Pillaging Wild Boar x9,Iron Boar Raider x16",0,0
Phantom Forest : Swamp Bog,30,7,16,21,16,192,11349800,51853,829648,Corrupted Shadowknight x16,0,1
Twilight Perion : Weathered Rocky Zone,28,16,39,40,40,191,11169215,53064,2069496,"Swollen Stump x3,Swollen Dark Stump x12,Swollen Axe Stump x25",0,0
